ID,population_2017
"alabama,autauga",55443
"alabama,baldwin",212619
"alabama,barbour",25158
"alabama,bibb",22555
"alabama,blount",57827
"alabama,bullock",10176
"alabama,butler",19898
"alabama,calhoun",114664
"alabama,chambers",33758
"alabama,cherokee",25815
"alabama,chilton",44117
"alabama,choctaw",12935
"alabama,clarke",24097
"alabama,clay",13367
"alabama,cleburne",14906
"alabama,coffee",51777
"alabama,colbert",54509
"alabama,conecuh",12435
"alabama,coosa",10757
"alabama,covington",37078
"alabama,crenshaw",13861
"alabama,cullman",82836
"alabama,dale",49254
"alabama,dallas",39235
"alabama,de kalb",71404
"alabama,elmore",81416
"alabama,escambia",36999
"alabama,etowah",102937
"alabama,fayette",16474
"alabama,franklin",31590
"alabama,geneva",26410
"alabama,greene",8318
"alabama,hale",14809
"alabama,henry",17140
"alabama,houston",104373
"alabama,jackson",51907
"alabama,jefferson",659546
"alabama,lamar",13902
"alabama,lauderdale",92591
"alabama,lawrence",33077
"alabama,lee",161641
"alabama,limestone",94076
"alabama,lowndes",10104
"alabama,macon",18811
"alabama,madison",361665
"alabama,marengo",19366
"alabama,marion",29771
"alabama,marshall",95609
"alabama,mobile",414515
"alabama,monroe",21302
"alabama,montgomery",227079
"alabama,morgan",118811
"alabama,perry",9319
"alabama,pickens",20182
"alabama,pike",33435
"alabama,randolph",22683
"alabama,russell",57028
"alabama,shelby",87976
"alabama,st clair",213729
"alabama,sumter",12780
"alabama,talladega",80022
"alabama,tallapoosa",40613
"alabama,tuscaloosa",207709
"alabama,walker",63935
"alabama,washington",16532
"alabama,wilcox",10712
"alabama,winston",23745
"arizona,apache",71545
"arizona,cochise",124990
"arizona,coconino",141107
"arizona,gila",53629
"arizona,graham",37501
"arizona,greenlee",9468
"arizona,la paz",20735
"arizona,maricopa",4329580
"arizona,mohave",207114
"arizona,navajo",109144
"arizona,pima",1027502
"arizona,pinal",432114
"arizona,santa cruz",46636
"arizona,yavapai",228055
"arizona,yuma",209756
"arkansas,arkansas",17904
"arkansas,ashley",20319
"arkansas,baxter",41316
"arkansas,benton",266504
"arkansas,boone",37486
"arkansas,bradley",10853
"arkansas,calhoun",5224
"arkansas,carroll",27947
"arkansas,chicot",10639
"arkansas,clark",22180
"arkansas,clay",14910
"arkansas,cleburne",25046
"arkansas,cleveland",8181
"arkansas,columbia",23700
"arkansas,conway",20848
"arkansas,craighead",107037
"arkansas,crawford",62917
"arkansas,crittenden",48730
"arkansas,cross",16852
"arkansas,dallas",7354
"arkansas,desha",11732
"arkansas,drew",18373
"arkansas,faulkner",123397
"arkansas,franklin",17844
"arkansas,fulton",12112
"arkansas,garland",98444
"arkansas,grant",18096
"arkansas,greene",44977
"arkansas,hempstead",21881
"arkansas,hot spring",33600
"arkansas,howard",13377
"arkansas,independence",37409
"arkansas,izard",13680
"arkansas,jackson",17057
"arkansas,jefferson",69269
"arkansas,johnson",26489
"arkansas,lafayette",6822
"arkansas,lawrence",16590
"arkansas,lee",9147
"arkansas,lincoln",13473
"arkansas,little river",12393
"arkansas,logan",21753
"arkansas,lonoke",72878
"arkansas,madison",16349
"arkansas,marion",16460
"arkansas,miller",43884
"arkansas,mississippi",42073
"arkansas,monroe",7052
"arkansas,montgomery",8907
"arkansas,nevada",8328
"arkansas,newton",7837
"arkansas,ouachita",23824
"arkansas,perry",10335
"arkansas,phillips",18564
"arkansas,pike",10721
"arkansas,poinsett",24121
