"V1","V2","Var","letter_var"
"f_jk_0_0",0,"jk","f"
"f_jk_0_1",0,"jk","f"
"f_jk_0_10",1.27031437463,"jk","f"
"f_jk_0_11",3.3823101229,"jk","f"
"f_jk_0_12",0.556020895084,"jk","f"
"f_jk_0_13",5.84186929714,"jk","f"
"f_jk_0_14",0,"jk","f"
"f_jk_0_15",0,"jk","f"
"f_jk_0_16",0,"jk","f"
"f_jk_0_17",0,"jk","f"
"f_jk_0_18",0,"jk","f"
"f_jk_0_19",0,"jk","f"
"f_jk_0_2",0,"jk","f"
"f_jk_0_20",0,"jk","f"
"f_jk_0_21",0,"jk","f"
"f_jk_0_22",0,"jk","f"
"f_jk_0_23",0,"jk","f"
"f_jk_0_24",0,"jk","f"
"f_jk_0_25",0,"jk","f"
"f_jk_0_26",0,"jk","f"
"f_jk_0_27",0,"jk","f"
"f_jk_0_28",0,"jk","f"
"f_jk_0_29",0,"jk","f"
"f_jk_0_3",0,"jk","f"
"f_jk_0_4",0,"jk","f"
"f_jk_0_5",0,"jk","f"
"f_jk_0_6",0,"jk","f"
"f_jk_0_7",0,"jk","f"
"f_jk_0_8",0,"jk","f"
"f_jk_0_9",0.193809619146,"jk","f"
"f_jk_10_0",0,"jk","f"
"f_jk_10_1",0,"jk","f"
"f_jk_10_10",0,"jk","f"
"f_jk_10_11",0,"jk","f"
"f_jk_10_12",0,"jk","f"
"f_jk_10_13",0,"jk","f"
"f_jk_10_14",0,"jk","f"
"f_jk_10_15",0,"jk","f"
"f_jk_10_16",0,"jk","f"
"f_jk_10_17",0,"jk","f"
"f_jk_10_18",6.69062411104,"jk","f"
"f_jk_10_19",0,"jk","f"
"f_jk_10_2",0,"jk","f"
"f_jk_10_20",0,"jk","f"
"f_jk_10_21",7.51908365806,"jk","f"
"f_jk_10_22",0,"jk","f"
"f_jk_10_23",0,"jk","f"
"f_jk_10_24",0,"jk","f"
"f_jk_10_25",0,"jk","f"
"f_jk_10_26",0,"jk","f"
